"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","470nF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C3,C4","2","100nF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C6","1","220nF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C7","1","1pF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C8","1","10n","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C9,C10,C11,C12","4","100n","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C13,C14,C15,C16,C17,C18","6","1uF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"J1","1","Conn_01x06_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Horizontal","~"
"J2","1","Conn_01x01_Socket","","","","Connector_PinSocket_2.54mm:PinSocket_1x01_P2.54mm_Horizontal","~"
"R1,R2,R8,R10,R16,R17","6","10k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R3","1","500k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R4,R6","2","30k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R5,R7","2","350","","","","Resistor_SMD:R_0805_2012Metric","~"
"R9","1","6.7k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R11","1","1k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R12","1","100k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R13","1","2k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R14,R15","2","4.7M","","","","Resistor_SMD:R_0805_2012Metric","~"
"U2","1","OPA2197","","","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/opa2197.pdf"
"U4","1","OPA4197xD","","","","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","http://www.ti.com/lit/ds/symlink/opa4197.pdf"
"U6","1","INA128","","","","Package_SO:SOIC-8_5.3x6.2mm_P1.27mm","http://www.ti.com/lit/ds/symlink/ina128.pdf"
