Reference	Qty	Value	Footprint
C1	1	0.47u	Capacitor_SMD:C_0805_2012Metric
C3,C4,C9,C10,C11,C12,C13,C16,C17,C18	10	0.1u	Capacitor_SMD:C_0805_2012Metric
C6	1	0.22u	Capacitor_SMD:C_0805_2012Metric
C7	1	1pF	Capacitor_SMD:C_0805_2012Metric
C8	1	33n	Capacitor_SMD:C_0805_2012Metric
C14,C15	2	1u	Capacitor_SMD:C_0805_2012Metric
D1	1	LED	LED_SMD:LED_0805_2012Metric
J1	1	Conn_01x07_Pin	Connector_PinHeader_2.54mm:PinHeader_1x07_P2.54mm_Horizontal
R1	1	20k	Resistor_SMD:R_0805_2012Metric
R3	1	3.3M	Resistor_SMD:R_0805_2012Metric
R4,R6	2	30k	Resistor_SMD:R_0805_2012Metric
R5,R7	2	350	Resistor_SMD:R_0805_2012Metric
R8,R10,R16,R17	4	10k	Resistor_SMD:R_0805_2012Metric
R9	1	6.7k	Resistor_SMD:R_0805_2012Metric
R11	1	1k	Resistor_SMD:R_0805_2012Metric
R12	1	100k	Resistor_SMD:R_0805_2012Metric
R13	1	2k	Resistor_SMD:R_0805_2012Metric
R14,R15	2	4.7M	Resistor_SMD:R_0805_2012Metric
R18	1	5k	Resistor_SMD:R_0805_2012Metric
U2	1	OPA2237	Package_SO:SOIC-8_3.9x4.9mm_P1.27mm
U4	1	OPA4170	Package_SO:SOIC-14_3.9x8.7mm_P1.27mm
U6	1	INA128	Package_SO:SOIC-8_5.3x6.2mm_P1.27mm
